PROGR,REGIONE,ID SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE SU GIS,LONGITUDINE SU GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO,SPECIE NOME SCIENTIFICO,SPECIE NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO
126,CALABRIA,01/F364/VV/18,Vibo Valentia,Mongiana,Fontanelle,38° 30' 40.2'',16° 17' 31.26'',1050,no,Abies alba Mill.,Abete bianco,460,35.0,"a) eta` e/o dimensioni
c) valore ecologico
g) valore storico. culturale. religioso",si`
127,CALABRIA,01/I639/VV/18,Vibo Valentia,Serra San Bruno,Castagnara,38° 33' 04.95'',16° 18' 33.05'',855,no,Taxus baccata L.,Tasso,250,20.0,"a) eta` e/o dimensioni
c) valore ecologico",no
128,CALABRIA,03/I639/VV/18,Vibo Valentia,Serra San Bruno,Santa Maria del Bosco,38° 33' 39.06'',16° 18' 58.26'',850,no,Abies alba Mill.,Abete bianco,390,33.0,"a) eta` e/o dimensioni
b) forma e portamento
c) valore ecologico",no
129,CALABRIA,05/I639/VV/18,Vibo Valentia,Serra San Bruno,Rosarella,38° 33' 19.82'',16° 20' 10.52'',950,no,Abies alba Mill.,Abete bianco,470,30.0,a) eta` e/o dimensioni,no
130,CALABRIA,06/I639/VV/18,Vibo Valentia,Serra San Bruno,Bosco Archiforo,38° 32' 16.21'',16° 20' 42.09'',1327,no,Insieme omogeneo di Abies alba Mill.,Abete bianco,"427 (med)
450 (max)",45.0 (max),"a) eta` e/o dimensioni
b) forma e portamento",no
131,CALABRIA,07/I639/VV/18,Vibo Valentia,Serra San Bruno,Pietra del Caricatore,38° 32' 24.64'',16° 20' 12.64'',1144,no,Abies alba Mill.,Abete bianco,510,40.0,"a) eta` e/o dimensioni
b) forma e portamento",no
132,CALABRIA,09/I639/VV/18,Vibo Valentia,Serra San Bruno,Monte Pecoraro,38° 32' 27.6'',16° 20' 33.62'',1243,no,Abies alba Mill.,Abete bianco,480,45.0,a) eta` e/o dimensioni,no
133,CALABRIA,10/I639/VV/18,Vibo Valentia,Serra San Bruno,Lu Bellu,38° 33' 36.1'',16° 20' 51.76'',1068,no,Insieme omogeneo di Abies alba Mill.,Abete bianco,"460 (med)
470 (max)",40.0 (med),a) eta` e/o dimensioni,no
134,CALABRIA,01/I744/VV/18,Vibo Valentia,Simbario,Trainaro,38° 36' 51.46'',16° 20' 53.9'',762,no,Quercus pubescens Willd.,Roverella,620,21.0,"a) eta` e/o dimensioni
c) valore ecologico",no
135,CALABRIA,01/I884/VV/18,Vibo Valentia,Spadola,Vallone Fondo Baciafemmine,38° 34' 47.52'',16° 21' 53.01'',1020,no,Fagus sylvatica L.,Faggio,480,35.0,a) eta` e/o dimensioni,no
136,CALABRIA,02/I884/VV/18,Vibo Valentia,Spadola,Vallone Fondo Baciafemmine,38° 34' 33.81'',16° 21' 52.21'',1047,no,Insieme omogeneo di Abies alba Mill.,Abete bianco,480 (max),"35.0 (med)
35.0 (max)","a) eta` e/o dimensioni
b) forma e portamento",no
